insee_code,commune_name,latitude,longitude
01451,Viriat,46.2522,5.2257
01452,Virieu-le-Grand,45.8465,5.639
01453,Arvière-en-Valromey,45.9153,5.7346
01454,Virignin,45.7282,5.7149
01456,Vongnes,45.8122,5.7255
01457,Vonnas,46.2132,4.9945
02001,Abbécourt,49.5997,3.1824
02002,Achery,49.6935,3.3974
02003,Acy,49.3476,3.4188
02004,Agnicourt-et-Séchelles,49.7172,3.9637
02005,Aguilcourt,49.3953,3.9663
02006,Aisonville-et-Bernoville,49.9313,3.5121
02007,Aizelles,49.4865,3.8211
02008,Aizy-Jouy,49.4372,3.5128
02009,Alaincourt,49.7681,3.3692
02010,Allemant,49.4639,3.4591
02011,Ambleny,49.3741,3.1681
02012,Ambrief,49.3226,3.4058
02013,Amifontaine,49.4977,3.9218
02014,Amigny-Rouy,49.6111,3.3059
02015,Ancienville,49.2196,3.2065
02016,Andelain,49.6428,3.3686
02017,Anguilcourt-le-Sart,49.6971,3.424
02018,Anizy-le-Grand,49.5159,3.4426
02019,Annois,49.7122,3.1761
02020,Any-Martin-Rieux,49.8851,4.219
02021,Archon,49.7444,4.1176
02022,Arcy-Sainte-Restitue,49.2557,3.4776
02023,Armentières-sur-Ourcq,49.1731,3.3916
02024,Arrancy,49.4985,3.7647
02025,Artemps,49.7623,3.196
02027,Assis-sur-Serre,49.6788,3.5547
02028,Athies-sous-Laon,49.5754,3.6905
02029,Attilly,49.8557,3.1533
02030,Aubencheul-aux-Bois,50.0248,3.2614
02031,Aubenton,49.8254,4.1928
02032,Aubigny-aux-Kaisnes,49.7724,3.1167
02033,Aubigny-en-Laonnois,49.495,3.7921
02034,Audignicourt,49.4779,3.1268
02035,Audigny,49.8651,3.6314
02036,Augy,49.3405,3.5117
02037,Aulnois-sous-Laon,49.6213,3.6111
02038,Les Autels,49.7603,4.224
02039,Autremencourt,49.7042,3.7931
02040,Autreppes,49.8963,3.8571
02041,Autreville,49.5878,3.2378
