code_insee,commune,cout_moyen_secheresse
01233,Marchamp,Pas de sinistre répertorié à CCR
01234,Marignieu,Pas de sinistre répertorié à CCR
01235,Marlieux,"Entre 2,5 et 5 k€"
01236,Marsonnas,Entre 5 et 10 k€
01237,Martignat,Pas de sinistre répertorié à CCR
01238,Massieux,Entre 10 et 20k€
01239,Massignieu-de-Rives,Pas de sinistre répertorié à CCR
01240,Matafelon-Granges,Pas de sinistre répertorié à CCR
01241,Meillonnas,Entre 10 et 20k€
01242,Mérignat,Pas de sinistre répertorié à CCR
01243,Messimy-sur-Saône,Plus de 20 k€
01244,Meximieux,Entre 10 et 20k€
01245,Bohas-Meyriat-Rignat,"Entre 2,5 et 5 k€"
01246,Mézériat,Entre 10 et 20k€
01247,Mijoux,Pas de sinistre répertorié à CCR
01248,Mionnay,Pas de sinistre répertorié à CCR
01249,Miribel,Pas de sinistre répertorié à CCR
01250,Misérieux,Pas de sinistre répertorié à CCR
01252,Mogneneins,Pas de sinistre répertorié à CCR
01254,Montagnat,Pas de sinistre répertorié à CCR
01255,Montagnieu,Pas de sinistre répertorié à CCR
01257,Montanges,Pas de sinistre répertorié à CCR
01258,Montceaux,"Entre 2,5 et 5 k€"
01259,Montcet,Pas de sinistre répertorié à CCR
01260,Le Montellier,Pas de sinistre répertorié à CCR
01261,Monthieux,"Entre 0 et 2,5 k€"
01262,Montluel,Entre 10 et 20k€
01263,Montmerle-sur-Saône,Entre 10 et 20k€
01264,Montracol,Pas de sinistre répertorié à CCR
01265,Montréal-la-Cluse,Entre 10 et 20k€
01266,Montrevel-en-Bresse,"Entre 2,5 et 5 k€"
01267,Nurieux-Volognat,Pas de sinistre répertorié à CCR
01268,Murs-et-Gélignieux,Pas de sinistre répertorié à CCR
01269,Nantua,Pas de sinistre répertorié à CCR
01272,Neuville-les-Dames,"Entre 0 et 2,5 k€"
01273,Neuville-sur-Ain,"Entre 2,5 et 5 k€"
01274,Les Neyrolles,Pas de sinistre répertorié à CCR
01275,Neyron,Pas de sinistre répertorié à CCR
01276,Niévroz,"Entre 0 et 2,5 k€"
01277,Nivollet-Montgriffon,Pas de sinistre répertorié à CCR
01279,Oncieu,Pas de sinistre répertorié à CCR
01280,Ordonnaz,Pas de sinistre répertorié à CCR
01281,Ornex,Pas de sinistre répertorié à CCR
01282,Outriaz,Pas de sinistre répertorié à CCR
01283,Oyonnax,"Entre 0 et 2,5 k€"
01284,Ozan,"Entre 0 et 2,5 k€"
01285,Parcieux,Pas de sinistre répertorié à CCR
01286,Parves et Nattages,Pas de sinistre répertorié à CCR
01288,Péron,Pas de sinistre répertorié à CCR
01289,Péronnas,Entre 5 et 10 k€
01290,Pérouges,Pas de sinistre répertorié à CCR
01291,Perrex,Entre 10 et 20k€
01293,Peyriat,Pas de sinistre répertorié à CCR
01294,Peyrieu,Pas de sinistre répertorié à CCR
01295,Peyzieux-sur-Saône,Pas de sinistre répertorié à CCR
01296,Pirajoux,"Entre 0 et 2,5 k€"
01297,Pizay,"Entre 2,5 et 5 k€"
01298,Plagne,Pas de sinistre répertorié à CCR
01299,Le Plantay,Pas de sinistre répertorié à CCR
01301,Polliat,Entre 10 et 20k€
01302,Pollieu,Pas de sinistre répertorié à CCR
01303,Poncin,"Entre 0 et 2,5 k€"
01304,Pont-d'Ain,Pas de sinistre répertorié à CCR
01305,Pont-de-Vaux,Pas de sinistre répertorié à CCR
01306,Pont-de-Veyle,"Entre 2,5 et 5 k€"
01307,Port,"Entre 2,5 et 5 k€"
01308,Pougny,Pas de sinistre répertorié à CCR
01309,Pouillat,"Entre 0 et 2,5 k€"
01310,Prémeyzel,Pas de sinistre répertorié à CCR
01311,Prémillieu,Pas de sinistre répertorié à CCR
01313,Prévessin-Moëns,Pas de sinistre répertorié à CCR
01314,Priay,Entre 5 et 10 k€
01317,Ramasse,Pas de sinistre répertorié à CCR
01318,Rancé,Pas de sinistre répertorié à CCR
01319,Relevant,Pas de sinistre répertorié à CCR
01320,Replonges,Entre 10 et 20k€
01321,Revonnas,Plus de 20 k€
01322,Reyrieux,Entre 5 et 10 k€
01323,Reyssouze,"Entre 2,5 et 5 k€"
01325,Rignieux-le-Franc,Entre 5 et 10 k€
01328,Romans,Pas de sinistre répertorié à CCR
01329,Rossillon,Pas de sinistre répertorié à CCR
01330,Ruffieu,Pas de sinistre répertorié à CCR
01331,Saint-Alban,Pas de sinistre répertorié à CCR
01332,Saint-André-de-Bâgé,"Entre 0 et 2,5 k€"
01333,Saint-André-de-Corcy,Entre 10 et 20k€
01334,Saint-André-d'Huiriat,Pas de sinistre répertorié à CCR
01335,Saint-André-le-Bouchoux,Pas de sinistre répertorié à CCR
01336,Saint-André-sur-Vieux-Jonc,Pas de sinistre répertorié à CCR
01337,Saint-Bénigne,Plus de 20 k€
01338,Groslée-Saint-Benoit,Pas de sinistre répertorié à CCR
01339,Saint-Bernard,Plus de 20 k€
01342,Sainte-Croix,Pas de sinistre répertorié à CCR
01343,Saint-Cyr-sur-Menthon,"Entre 2,5 et 5 k€"
01344,Saint-Denis-lès-Bourg,Entre 10 et 20k€
01345,Saint-Denis-en-Bugey,"Entre 0 et 2,5 k€"
01346,Saint-Didier-d'Aussiat,Entre 5 et 10 k€
01347,Saint-Didier-de-Formans,"Entre 2,5 et 5 k€"
