#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h44 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
1284;41.9028;9.3118;GWL30;17.33;26.3;9.54;29.99;11.1;56.7;94.1;1071.07;97.14;339.34;54.51;114.58;5.2;141;3.56;4.57;2.78;4.58;11;44.8;64.8;1.6;23;0.09;0.09;0.19;0.16;0.19;
1285;41.8964;9.4075;GWL30;19.06;27.14;11.85;30.49;8.9;60.8;109.9;895.51;82.37;281.5;45.54;99.78;5.1;174;3.01;3.45;2.61;3.28;8.9;47.6;53.9;1.4;-6;0.09;0.1;0.19;0.16;0.19;
1420;42.0168;8.649;GWL30;18.42;26.23;11.42;29.6;6.2;54.2;98.1;775.52;80.12;186.83;30.02;49.16;5;147;3.15;3.78;2.75;3.16;5.9;45.1;69.9;1.4;2;0.07;0.23;-0.04;0.07;0.06;
1421;42.011;8.745;GWL30;18;26.49;10.61;29.77;7.2;61.7;98.2;851.48;87;204.42;32.86;52.51;4.9;145;3.47;4.6;2.79;3.91;6.9;49;72.6;1.3;7;0.07;0.23;-0.04;0.07;0.05;
1422;42.0051;8.8409;GWL30;17.71;26.08;10.42;29.68;12.1;60;89.4;873.03;82.59;228.68;36.86;57.15;5.2;152;3.36;4.33;2.8;3.93;11.6;46.6;64.5;1.7;6;0.06;0.14;0.03;0.18;0.04;
1423;41.9991;8.9368;GWL30;16.44;25.81;8.62;29.08;17;50.4;86.2;1125.64;105.86;329.41;43.89;74.53;4.6;134;3.87;5.42;2.95;5.37;16.8;42.4;65.8;1;26;0;-0.01;0.03;0.08;0.06;
1424;41.993;9.0327;GWL30;15.25;24.59;7.48;27.24;7.6;34.6;78.8;1203.09;113.65;345.63;47.27;77.69;4.8;126;3.94;5.45;3.05;5.33;7.6;31.6;63.4;1.2;25;-0.01;-0.02;0;0.1;0.07;
1425;41.9869;9.1286;GWL30;12.7;21.71;5.4;23.75;0.2;9.1;52;1660.36;157.2;549.5;68;106.02;6.2;101;3.92;5.2;3.36;4.97;0.2;9.1;47.8;2.5;22;0.07;0.03;0.18;0.33;0.17;
1426;41.9806;9.2245;GWL30;13.2;22.11;5.9;24.84;0.7;14.9;45;1284.17;125.46;432.85;54.11;89.2;6.2;117;3.81;5.04;3.25;4.81;0.7;14.9;42.7;2.5;25;0.11;0.03;0.27;0.32;0.23;
1427;41.9743;9.3203;GWL30;17.54;26.39;9.82;30.24;10.5;61;94.2;1052.92;95.57;328.18;52.91;110.76;5;145;3.52;4.44;2.81;4.49;10.3;48;64.1;1.4;24;0.09;0.1;0.19;0.17;0.17;
1428;41.9679;9.4161;GWL30;19.15;27.19;11.99;30.52;8;62.7;111;890.68;81.72;275.61;44.7;97.14;5;169;3.04;3.44;2.68;3.28;8;49.3;53.4;1.4;3;0.1;0.1;0.19;0.17;0.17;
1562;42.0941;8.5607;GWL30;18.38;26.02;11.52;29.82;11.1;54.5;90.6;785.35;69.47;206.56;32.02;57.75;5.2;153;3.01;3.49;2.73;3.27;10.9;45;62.4;1.5;-6;0.09;0.1;0.05;0.14;0.21;
1563;42.0883;8.6568;GWL30;18.36;26;11.49;29.8;11;54;90.7;787.54;69.66;207.13;32.08;57.85;5.2;153;3.01;3.49;2.72;3.28;10.7;44.7;62.6;1.6;-6;0.09;0.1;0.05;0.14;0.21;
1564;42.0825;8.7528;GWL30;17.96;25.84;11.02;29.55;9.6;53.7;87.2;815.11;75.29;219.53;33.23;58.52;4.5;175;3.1;3.69;2.79;3.46;9.4;43.9;60.8;0.8;9;0.05;0.07;0.04;0.13;0.07;
1565;42.0766;8.8489;GWL30;17.3;26.28;9.79;30;19.1;61;89;1053.48;97.9;300.85;40.79;68.11;4.7;143;3.65;4.86;3.04;4.71;18;46.5;64.2;1.1;24;0.02;0.01;0.01;0.11;0.08;
1566;42.0706;8.9449;GWL30;17.36;26.74;9.54;30.62;26;62.8;91.7;1041.11;95.57;305.66;39.68;71.24;4.3;147;3.77;5.38;2.84;5.4;24.9;48.6;67.5;0.8;28;0.01;-0.03;0.03;0.1;0.11;
1567;42.0646;9.0409;GWL30;15.33;24.65;7.57;27.6;7.7;37.3;76.9;1382.24;128.09;433.72;52.29;88.23;4.1;115;3.85;5.32;3.01;5.28;7.7;34.2;62.7;0.4;19;0.01;-0.05;0.06;0.12;0.1;
1568;42.0584;9.1369;GWL30;10.75;19.23;3.92;21.18;0;1.2;22.5;1396.69;137.37;470.25;55.33;99.44;5.4;104;3.75;4.71;3.45;4.51;0;1.2;22.1;1.7;26;0.06;0.02;0.21;0.29;0.23;
1569;42.0522;9.2329;GWL30;13.47;22.21;5.93;25.15;0.2;12.4;48.1;1170.89;125.12;374.32;47.09;85.73;4.8;124;3.77;4.84;2.98;4.72;0.2;12.2;45;1.1;39;0.01;0.01;0.12;0.12;0.08;
1570;42.0458;9.3288;GWL30;18.1;26.61;10.55;30.62;12.2;66.2;97.6;975.78;92.05;305.6;48.83;101.94;5.1;150;3.33;3.98;2.72;4.05;12;50.4;61.4;1.4;17;0.09;0.1;0.19;0.13;0.17;
